Date	Arkengarthdale	East Cowton	Malham Tarn	Snaizeholme	Crakehill	Skip Bridge	Westwick	Skelton	Skelton tommorow	Predictor_1	Skelton Tomorrow	Skelton - 1	Average Rainfall	Average River flow	Average Rainfall -1 day	Skelton + average Rain
1993-01-01	0.0	0.0	0.0	4.0	10.4	4.393	9.291	26.1	24.86	24.084	24.86		1.0	12.546		27.1
1993-01-02	0.0	0.0	0.4	2.0	10.175	4.316	8.956	24.86	23.6	23.447	23.6	26.1	0.6	12.07675	1.0	25.46
1993-01-03	0.0	0.0	0.533	1.333	9.937	4.252	8.657	23.6	23.47	22.845	23.47	24.86	0.4665	11.6115	0.6	24.0665
1993-01-04	0.6	0.7	0.6	1.029	9.805	4.28	8.474	23.47	60.7	22.559	60.7	23.6	0.73225	11.507249999999999	0.4665	24.20225
1993-01-05	3.4	2.1	9.0	0.131	13.78	6.172	11.444	60.7	98.01	31.396	98.01	23.47	3.65775	23.024	0.73225	64.35775000000001
1993-01-06	3.4	2.1	9.2	0.331	19.318	7.672	17.892	98.01	56.99	44.881	56.99	60.7	3.7577499999999997	35.723	3.65775	101.76775
1993-01-07	4.8	3.1	13.4	0.692	21.778	8.454	21.444	56.99	56.66	51.675	56.66	98.01	5.498	27.1665	3.7577499999999997	62.488
1993-01-08	4.6	2.4	13.6	1.264	24.925	9.18	26.859	56.66	78.1	60.964	78.1	56.99	5.466	29.406	5.498	62.126
1993-01-09	5.4	1.2	6.274	2.055	27.225	8.228	29.974	78.1	83.845	65.427	83.845	56.66	3.73225	35.88175	5.466	81.83224999999999
1993-01-10	8.658	1.8	8.2	3.109	27.848	8.987	30.596	83.845	88.424	67.431	88.424	78.1	5.441750000000001	37.819	3.73225	89.28675
1993-01-11	9.858	1.576	6.8	4.421	31.25	10.615	34.842	88.424	92.032	76.706	92.032	83.845	5.66375	41.28275	5.441750000000001	94.08775
1993-01-12	11.258	2.576	6.6	5.963	33.75	12.314	37.573	92.032	94.862	83.638	94.862	88.424	6.59925	43.917249999999996	5.66375	98.63125
1993-01-13	9.172	4.576	6.626	7.723	32.89	13.836	39.447	94.862	97.107	86.174	97.107	92.032	7.02425	45.25875	6.59925	101.88624999999999
1993-01-14	7.314	4.376	6.3	9.669	32.302	14.103	40.627	97.107	98.96	87.032	98.96	94.862	6.914750000000001	46.03475	7.02425	104.02175
1993-01-15	6.514	6.6	5.253	12.015	32.21	14.27	41.318	98.96	100.614	87.799	100.614	97.107	7.5955	46.689499999999995	6.914750000000001	106.5555
1993-01-16	6.914	6.2	6.853	14.828	32.447	14.396	41.767	100.614	102.263	88.61	102.263	98.96	8.69875	47.306000000000004	7.5955	109.31275000000001
1993-01-17	7.0	4.2	5.753	17.574	32.8	14.536	42.119	102.263	104.1	89.455	104.1	100.614	8.63175	47.929500000000004	8.69875	110.89475
1993-01-18	7.3	4.4	14.753	19.74	33.265	14.748	42.388	104.1	106.156	90.4	106.156	102.263	11.54825	48.625249999999994	8.63175	115.64824999999999
1993-01-19	7.3	1.4	21.4	20.985	34.282	15.253	42.593	106.156	108.266	92.128	108.266	104.1	12.771249999999998	49.571	11.54825	118.92725
1993-01-20	6.7	0.8	24.4	21.133	36.181	16.258	42.753	108.266	110.33	95.193	110.33	106.156	13.25825	50.8645	12.771249999999998	121.52425000000001
1993-01-21	6.5	1.6	27.01	20.611	38.464	17.23	42.885	110.33	112.245	98.579	112.245	108.266	13.930250000000001	52.22725	13.25825	124.26025
1993-01-22	6.0	1.6	17.61	19.846	40.494	18.103	42.999	112.245	113.911	101.597	113.911	110.33	11.264	53.46025	13.930250000000001	123.509
1993-01-23	5.218	1.919	10.71	18.008	41.693	18.656	43.101	113.911	115.226	103.45	115.226	112.245	8.963750000000001	54.34025	11.264	122.87475
1993-01-24	4.455	2.012	7.71	14.475	41.535	18.669	43.186	115.226	116.09	103.391	116.09	113.911	7.163	54.653999999999996	8.963750000000001	122.389
1993-01-25	3.655	1.012	5.1	10.196	40.309	18.645	43.254	116.09	116.4	102.208	116.4	115.226	4.99075	54.5745	7.163	121.08075000000001
1993-01-26	2.655	0.412	3.5	7.996	38.603	18.604	43.3	116.4	92.52	100.507	92.52	116.09	3.64075	54.22675	4.99075	120.04075
1993-01-27	2.437	1.893	2.0	7.569	36.553	17.965	42.408	92.52	104.3	96.926	104.3	116.4	3.4747500000000002	47.3615	3.64075	95.99475
1993-01-28	1.8	3.4	2.0	8.136	35.649	17.82	42.002	104.3	106.0	95.47	106.0	92.52	3.8339999999999996	49.942750000000004	3.4747500000000002	108.134
1993-01-29	1.4	3.4	3.2	8.536	34.7	17.744	42.088	106.0	80.07	94.532	80.07	104.3	4.134	50.133	3.8339999999999996	110.134
1993-01-30	1.2	3.4	3.2	6.736	32.3	16.914	39.172	80.07	64.14	88.386	64.14	106.0	3.634	42.114	4.134	83.704
1993-01-31	0.4	3.4	4.8	4.736	29.525	15.841	35.849	64.14	56.13	81.215	56.13	80.07	3.3339999999999996	36.338750000000005	3.634	67.474
