Date	Arkengarthdale	East Cowton	Malham Tarn	Snaizeholme
1993-01-01	0.0	0.0	0.0	4.0
1993-01-02	0.0	0.0	0.4	2.0
1993-01-03	0.0	0.0	0.533	1.333
1993-01-04	0.6	0.7	0.6	1.029
1993-01-05	3.4	2.1	9.0	0.131
1993-01-06	3.4	2.1	9.2	0.331
1993-01-07	4.8	3.1	13.4	0.692
1993-01-08	4.6	2.4	13.6	1.264
1993-01-09	5.4	1.2	6.274	2.055
1993-01-10	8.658	1.8	8.2	3.109
1993-01-11	9.858	1.576	6.8	4.421
1993-01-12	11.258	2.576	6.6	5.963
1993-01-13	9.172	4.576	6.626	7.723
1993-01-14	7.314	4.376	6.3	9.669
1993-01-15	6.514	6.6	5.253	12.015
1993-01-16	6.914	6.2	6.853	14.828
1993-01-17	7.0	4.2	5.753	17.574
1993-01-18	7.3	4.4	14.753	19.74
1993-01-19	7.3	1.4	21.4	20.985
1993-01-20	6.7	0.8	24.4	21.133
1993-01-21	6.5	1.6	27.01	20.611
1993-01-22	6.0	1.6	17.61	19.846
1993-01-23	5.218	1.919	10.71	18.008
1993-01-24	4.455	2.012	7.71	14.475
1993-01-25	3.655	1.012	5.1	10.196
1993-01-26	2.655	0.412	3.5	7.996
1993-01-27	2.437	1.893	2.0	7.569
1993-01-28	1.8	3.4	2.0	8.136
1993-01-29	1.4	3.4	3.2	8.536
1993-01-30	1.2	3.4	3.2	6.736
1993-01-31	0.4	3.4	4.8	4.736
1993-02-01	0.2	1.8	3.2	3.8
1993-02-02	0.0	1.8	2.2	2.8
1993-02-03	0.0	1.8	2.2	2.2
1993-02-04	0.0	0.0	0.6	1.2
1993-02-05	1.2	2.4	0.4	0.6
1993-02-06	1.4	4.2	1.4	1.0
1993-02-07	1.4	4.2	1.8	1.0
1993-02-08	1.8	4.2	1.6	1.0
1993-02-09	0.8	1.8	1.6	0.4
1993-02-10	0.6	0.0	0.4	0.2
1993-02-11	0.6	0.0	0.0	0.2
1993-02-12	0.2	0.0	0.0	0.2
1993-02-13	0.0	0.0	0.0	0.2
1993-02-14	0.0	0.0	0.0	0.0
1993-02-15	0.0	0.0	7.2	0.0
1993-02-16	0.0	0.0	7.4	0.0
1993-02-17	0.0	0.0	9.4	0.0
1993-02-18	0.4	0.0	19.0	4.4
1993-02-19	0.4	0.0	12.4	4.4
1993-02-20	0.4	0.0	13.8	4.6
1993-02-21	0.4	0.0	11.8	4.6
1993-02-22	0.4	0.0	2.4	0.6
1993-02-23	0.4	0.0	2.2	0.6
1993-02-24	0.4	0.0	0.6	0.4
1993-02-25	0.8	0.2	3.6	1.4
1993-02-26	1.41	0.4	4.6	3.0
1993-02-27	2.81	0.6	6.8	4.0
1993-02-28	4.21	0.748	7.0	4.0
1993-03-01	4.71	0.6	4.4	5.8
1993-03-02	4.1	0.4	3.4	6.2
1993-03-03	3.1	0.2	1.0	5.8
1993-03-04	2.1	0.052	0.8	6.0
1993-03-05	1.2	0.0	1.0	3.4
1993-03-06	0.8	0.0	0.8	1.0
1993-03-07	0.4	0.0	0.6	0.4
1993-03-08	0.0	0.0	0.6	0.2
1993-03-09	0.0	0.0	0.0	0.0
1993-03-10	0.0	0.0	0.8	1.0
1993-03-11	0.0	0.2	2.2	1.4
1993-03-12	0.4	0.2	4.2	5.2
1993-03-13	0.6	0.2	10.0	6.8
1993-03-14	0.6	0.2	14.655	5.8
1993-03-15	3.4	0.0	17.787	10.2
1993-03-16	3.2	0.0	18.987	8.4
1993-03-17	3.0	0.0	13.387	8.0
1993-03-18	4.4	0.0	9.532	10.2
1993-03-19	1.6	0.0	7.6	5.4
1993-03-20	1.4	0.0	4.4	4.6
1993-03-21	3.0	0.0	4.2	4.698
