Date	Crakehill	Skip Bridge	Westwick	Skelton	Skelton tommorow	Predictor_1
1993-01-01	10.4	4.393	9.291	26.1	24.86	24.084
1993-01-02	10.175	4.316	8.956	24.86	23.6	23.447
1993-01-03	9.937	4.252	8.657	23.6	23.47	22.845
1993-01-04	9.805	4.28	8.474	23.47	60.7	22.559
1993-01-05	13.78	6.172	11.444	60.7	98.01	31.396
1993-01-06	19.318	7.672	17.892	98.01	56.99	44.881
1993-01-07	21.778	8.454	21.444	56.99	56.66	51.675
1993-01-08	24.925	9.18	26.859	56.66	78.1	60.964
1993-01-09	27.225	8.228	29.974	78.1	83.845	65.427
1993-01-10	27.848	8.987	30.596	83.845	88.424	67.431
1993-01-11	31.25	10.615	34.842	88.424	92.032	76.706
1993-01-12	33.75	12.314	37.573	92.032	94.862	83.638
1993-01-13	32.89	13.836	39.447	94.862	97.107	86.174
1993-01-14	32.302	14.103	40.627	97.107	98.96	87.032
1993-01-15	32.21	14.27	41.318	98.96	100.614	87.799
1993-01-16	32.447	14.396	41.767	100.614	102.263	88.61
1993-01-17	32.8	14.536	42.119	102.263	104.1	89.455
1993-01-18	33.265	14.748	42.388	104.1	106.156	90.4
1993-01-19	34.282	15.253	42.593	106.156	108.266	92.128
1993-01-20	36.181	16.258	42.753	108.266	110.33	95.193
1993-01-21	38.464	17.23	42.885	110.33	112.245	98.579
1993-01-22	40.494	18.103	42.999	112.245	113.911	101.597
1993-01-23	41.693	18.656	43.101	113.911	115.226	103.45
1993-01-24	41.535	18.669	43.186	115.226	116.09	103.391
1993-01-25	40.309	18.645	43.254	116.09	116.4	102.208
1993-01-26	38.603	18.604	43.3	116.4	92.52	100.507
1993-01-27	36.553	17.965	42.408	92.52	104.3	96.926
1993-01-28	35.649	17.82	42.002	104.3	106.0	95.47
1993-01-29	34.7	17.744	42.088	106.0	80.07	94.532
1993-01-30	32.3	16.914	39.172	80.07	64.14	88.386
1993-01-31	29.525	15.841	35.849	64.14	56.13	81.215
1993-02-01	25.5	13.982	30.902	56.13	50.29	70.385
