Date	Arkengarthdale	East Cowton	Malham Tarn	Snaizeholme	Crakehill	Skip Bridge	Westwick	Skelton	Skelton tommorow	Predictor_1	Skelton Tomorrow	Skelton - 1	Average Rainfall	Average River flow	Average Rainfall -1 day	Skelton + average Rain	Arkengarthdale_lag1	East Cowton_lag1	Malham Tarn_lag1	Snaizeholme_lag1	Predictor_1_lag1	Skelton_lag1	Arkengarthdale_lag2	East Cowton_lag2	Malham Tarn_lag2	Snaizeholme_lag2	Predictor_1_lag2	Skelton_lag2	Arkengarthdale_lag3	East Cowton_lag3	Malham Tarn_lag3	Snaizeholme_lag3	Predictor_1_lag3	Skelton_lag3	Arkengarthdale_lag4	East Cowton_lag4	Malham Tarn_lag4	Snaizeholme_lag4	Predictor_1_lag4	Skelton_lag4	Arkengarthdale_lag5	East Cowton_lag5	Malham Tarn_lag5	Snaizeholme_lag5	Predictor_1_lag5	Skelton_lag5	Arkengarthdale_lag6	East Cowton_lag6	Malham Tarn_lag6	Snaizeholme_lag6	Predictor_1_lag6	Skelton_lag6
1993-01-01	0.0	0.0	0.0	4.0	10.4	4.393	9.291	26.1	24.86	24.084	24.86		1.0	12.546		27.1																																				
1993-01-02	0.0	0.0	0.4	2.0	10.175	4.316	8.956	24.86	23.6	23.447	23.6	26.1	0.6	12.077	1.0	25.46	0.0	0.0	0.0	4.0	24.084	26.1																														
1993-01-03	0.0	0.0	0.533	1.333	9.937	4.252	8.657	23.6	23.47	22.845	23.47	24.86	0.466	11.612	0.6	24.066	0.0	0.0	0.4	2.0	23.447	24.86	0.0	0.0	0.0	4.0	24.084	26.1																								
1993-01-04	0.6	0.7	0.6	1.029	9.805	4.28	8.474	23.47	60.7	22.559	60.7	23.6	0.732	11.507	0.466	24.202	0.0	0.0	0.533	1.333	22.845	23.6	0.0	0.0	0.4	2.0	23.447	24.86	0.0	0.0	0.0	4.0	24.084	26.1																		
1993-01-05	3.4	2.1	9.0	0.131	13.78	6.172	11.444	60.7	98.01	31.396	98.01	23.47	3.658	23.024	0.732	64.358	0.6	0.7	0.6	1.029	22.559	23.47	0.0	0.0	0.533	1.333	22.845	23.6	0.0	0.0	0.4	2.0	23.447	24.86	0.0	0.0	0.0	4.0	24.084	26.1												
1993-01-06	3.4	2.1	9.2	0.331	19.318	7.672	17.892	98.01	56.99	44.881	56.99	60.7	3.758	35.723	3.658	101.768	3.4	2.1	9.0	0.131	31.396	60.7	0.6	0.7	0.6	1.029	22.559	23.47	0.0	0.0	0.533	1.333	22.845	23.6	0.0	0.0	0.4	2.0	23.447	24.86	0.0	0.0	0.0	4.0	24.084	26.1						
1993-01-07	4.8	3.1	13.4	0.692	21.778	8.454	21.444	56.99	56.66	51.675	56.66	98.01	5.498	27.166	3.758	62.488	3.4	2.1	9.2	0.331	44.881	98.01	3.4	2.1	9.0	0.131	31.396	60.7	0.6	0.7	0.6	1.029	22.559	23.47	0.0	0.0	0.533	1.333	22.845	23.6	0.0	0.0	0.4	2.0	23.447	24.86	0.0	0.0	0.0	4.0	24.084	26.1
1993-01-08	4.6	2.4	13.6	1.264	24.925	9.18	26.859	56.66	78.1	60.964	78.1	56.99	5.466	29.406	5.498	62.126	4.8	3.1	13.4	0.692	51.675	56.99	3.4	2.1	9.2	0.331	44.881	98.01	3.4	2.1	9.0	0.131	31.396	60.7	0.6	0.7	0.6	1.029	22.559	23.47	0.0	0.0	0.533	1.333	22.845	23.6	0.0	0.0	0.4	2.0	23.447	24.86
1993-01-09	5.4	1.2	6.274	2.055	27.225	8.228	29.974	78.1	83.845	65.427	83.845	56.66	3.732	35.882	5.466	81.832	4.6	2.4	13.6	1.264	60.964	56.66	4.8	3.1	13.4	0.692	51.675	56.99	3.4	2.1	9.2	0.331	44.881	98.01	3.4	2.1	9.0	0.131	31.396	60.7	0.6	0.7	0.6	1.029	22.559	23.47	0.0	0.0	0.533	1.333	22.845	23.6
1993-01-10	8.658	1.8	8.2	3.109	27.848	8.987	30.596	83.845	88.424	67.431	88.424	78.1	5.442	37.819	3.732	89.287	5.4	1.2	6.274	2.055	65.427	78.1	4.6	2.4	13.6	1.264	60.964	56.66	4.8	3.1	13.4	0.692	51.675	56.99	3.4	2.1	9.2	0.331	44.881	98.01	3.4	2.1	9.0	0.131	31.396	60.7	0.6	0.7	0.6	1.029	22.559	23.47
1993-01-11	9.858	1.576	6.8	4.421	31.25	10.615	34.842	88.424	92.032	76.706	92.032	83.845	5.664	41.283	5.442	94.088	8.658	1.8	8.2	3.109	67.431	83.845	5.4	1.2	6.274	2.055	65.427	78.1	4.6	2.4	13.6	1.264	60.964	56.66	4.8	3.1	13.4	0.692	51.675	56.99	3.4	2.1	9.2	0.331	44.881	98.01	3.4	2.1	9.0	0.131	31.396	60.7
1993-01-12	11.258	2.576	6.6	5.963	33.75	12.314	37.573	92.032	94.862	83.638	94.862	88.424	6.599	43.917	5.664	98.631	9.858	1.576	6.8	4.421	76.706	88.424	8.658	1.8	8.2	3.109	67.431	83.845	5.4	1.2	6.274	2.055	65.427	78.1	4.6	2.4	13.6	1.264	60.964	56.66	4.8	3.1	13.4	0.692	51.675	56.99	3.4	2.1	9.2	0.331	44.881	98.01
1993-01-13	9.172	4.576	6.626	7.723	32.89	13.836	39.447	94.862	97.107	86.174	97.107	92.032	7.024	45.259	6.599	101.886	11.258	2.576	6.6	5.963	83.638	92.032	9.858	1.576	6.8	4.421	76.706	88.424	8.658	1.8	8.2	3.109	67.431	83.845	5.4	1.2	6.274	2.055	65.427	78.1	4.6	2.4	13.6	1.264	60.964	56.66	4.8	3.1	13.4	0.692	51.675	56.99
1993-01-14	7.314	4.376	6.3	9.669	32.302	14.103	40.627	97.107	98.96	87.032	98.96	94.862	6.915	46.035	7.024	104.022	9.172	4.576	6.626	7.723	86.174	94.862	11.258	2.576	6.6	5.963	83.638	92.032	9.858	1.576	6.8	4.421	76.706	88.424	8.658	1.8	8.2	3.109	67.431	83.845	5.4	1.2	6.274	2.055	65.427	78.1	4.6	2.4	13.6	1.264	60.964	56.66
